#r		P		D
            0.01                1                0
            0.02          0.99995 -0.00333333333333
            0.03   0.999883340833 -0.00799860010333
            0.04   0.999780034329 -0.0120906724827
            0.05   0.999639387273 -0.0158312820027
            0.06   0.999462791089 -0.0193964153254
            0.07   0.999251234833 -0.0228679783877
            0.08   0.999005335821 -0.0262848005747
            0.09   0.998725492867 -0.0296665158688
             0.1   0.998411981436 -0.0330236507352
            0.11   0.998065006404 -0.0363621005548
            0.12   0.997684731541 -0.0396852548892
            0.13   0.997271296525 -0.0429950731869
            0.14   0.996824827116 -0.0462926609094
            0.15   0.996345441459 -0.0495785936186
            0.16   0.995833254101 -0.0528531072227
            0.17   0.995288378632 -0.0561162138864
            0.18   0.994710929449 -0.0593677750002
            0.19   0.994101022968 -0.0626075484683
             0.2   0.993458778462 -0.0658352201606
            0.21    0.99278431865 -0.0690504253283
            0.22   0.992077770112 -0.0722527635001
            0.23   0.991339263588 -0.0754418090515
            0.24   0.990568934175 -0.0786171188408
            0.25    0.98976692148 -0.0817782378229
            0.26   0.988933369705 -0.0849247032436
            0.27   0.988068427711 -0.0880560478225
            0.28   0.987172249051 -0.0911718022046
            0.29   0.986244991972 -0.0942714968768
             0.3   0.985286819417  -0.097354663686
            0.31      0.984297899  -0.100420837059
            0.32   0.983278402973  -0.103469554997
            0.33    0.98222850819  -0.106500359889
            0.34   0.981148396058  -0.109512799202
            0.35   0.980038252481  -0.112506426052
            0.36   0.978898267803  -0.115480799695
            0.37   0.977728636743  -0.118435485954
            0.38   0.976529558329  -0.121370057587
            0.39   0.975301235826  -0.124284094605
             0.4    0.97404387666  -0.127177184564
            0.41   0.972757692345  -0.130048922814
            0.42   0.971442898402  -0.132898912725
            0.43   0.970099714276  -0.135726765894
            0.44   0.968728363257  -0.138532102324
            0.45    0.96732907239  -0.141314550593
            0.46   0.965902072392  -0.144073747999
            0.47   0.964447597563  -0.146809340699
            0.48   0.962965885697  -0.149520983827
            0.49   0.961457177992  -0.152208341608
             0.5   0.959921718956  -0.154871087453
            0.51    0.95835975632  -0.157508904052
            0.52   0.956771540938  -0.160121483447
            0.53     0.9551573267  -0.162708527109
            0.54   0.953517370431  -0.165269745992
            0.55     0.9518519318  -0.167804860588
            0.56   0.950161273224  -0.170313600974
            0.57   0.948445659772  -0.172795706846
            0.58   0.946705359064  -0.175250927547
            0.59   0.944940641183  -0.177679022095
             0.6    0.94315177857   -0.18007975919
            0.61   0.941339045932   -0.18245291723
            0.62   0.939502720144  -0.184798284306
            0.63   0.937643080151  -0.187115658203
            0.64    0.93576040687  -0.189404846386
            0.65   0.933854983099  -0.191665665981
            0.66   0.931927093412  -0.193897943758
            0.67   0.929977024071  -0.196101516095
            0.68   0.928005062924   -0.19827622895
            0.69   0.926011499312  -0.200421937814
             0.7   0.923996623974  -0.202538507674
            0.71    0.92196072895  -0.204625812955
            0.72   0.919904107493  -0.206683737469
            0.73   0.917827053966  -0.208712174351
            0.74   0.915729863758  -0.210711025999
            0.75   0.913612833185  -0.212680203998
            0.76   0.911476259403   -0.21461962905
            0.77   0.909320440316  -0.216529230891
            0.78   0.907145674485  -0.218408948214
            0.79   0.904952261039  -0.220258728578
             0.8   0.902740499589  -0.222078528315
            0.81   0.900510690136  -0.223868312441
            0.82   0.898263132991  -0.225628054555
            0.83   0.895998128684  -0.227357736734
            0.84   0.893715977883  -0.229057349435
            0.85   0.891416981311  -0.230726891379
            0.86   0.889101439661  -0.232366369445
            0.87   0.886769653516  -0.233975798554
            0.88   0.884421923273  -0.235555201553
            0.89   0.882058549058  -0.237104609092
             0.9   0.879679830654  -0.238624059507
            0.91    0.87728606742  -0.240113598691
            0.92   0.874877558222   -0.24157327997
            0.93   0.872454601354  -0.243003163974
            0.94   0.870017494466  -0.244403318506
            0.95   0.867566534498  -0.245773818408
            0.96   0.865102017604  -0.247114745431
            0.97   0.862624239086  -0.248426188096
            0.98    0.86013349333  -0.249708241558
            0.99   0.857630073735  -0.250961007468
               1   0.855114272653  -0.252184593834
            1.01   0.852586381323   -0.25337911488
            1.02   0.850046689813  -0.254544690906
            1.03   0.847495486955  -0.255681448144
            1.04   0.844933060293  -0.256789518617
            1.05   0.842359696019  -0.257869039996
            1.06   0.839775678923  -0.258920155456
            1.07   0.837181292334  -0.259943013531
            1.08    0.83457681807  -0.260937767974
            1.09   0.831962536387  -0.261904577607
             1.1   0.829338725925  -0.262843606183
            1.11   0.826705663665  -0.263755022236
            1.12   0.824063624877  -0.264638998945
            1.13   0.821412883078  -0.265495713982
            1.14   0.818753709985  -0.266325349376
            1.15   0.816086375474  -0.267128091369
            1.16   0.813411147537  -0.267904130269
            1.17   0.810728292244  -0.268653660317
            1.18   0.808038073703  -0.269376879542
            1.19   0.805340754022  -0.270073989621
             1.2   0.802636593277  -0.270745195744
            1.21   0.799925849471  -0.271390706471
            1.22   0.797208778508  -0.272010733602
            1.23   0.794485634157  -0.272605492037
            1.24   0.791756668023  -0.273175199644
            1.25   0.789022129519  -0.273720077123
            1.26   0.786282265834  -0.274240347881
            1.27   0.783537321912  -0.274736237895
            1.28   0.780787540426  -0.275207975586
            1.29   0.778033161749  -0.275655791694
             1.3    0.77527442394  -0.276079919148
            1.31   0.772511562714  -0.276480592946
            1.32   0.769744811428  -0.276858050031
            1.33    0.76697440106  -0.277212529169
            1.34   0.764200560191  -0.277544270831
            1.35    0.76142351499  -0.277853517077
            1.36   0.758643489197  -0.278140511438
            1.37   0.755860704109  -0.278405498805
            1.38   0.753075378569  -0.278648725316
            1.39   0.750287728952  -0.278870438245
             1.4   0.747497969155  -0.279070885894
            1.41   0.744706310586  -0.279250317491
            1.42   0.741912962158  -0.279408983079
            1.43   0.739118130279  -0.279547133419
            1.44   0.736322018846  -0.279665019889
            1.45   0.733524829239  -0.279762894383
            1.46   0.730726760318  -0.279841009217
            1.47   0.727928008417  -0.279899617035
            1.48   0.725128767342  -0.279938970714
            1.49    0.72232922837  -0.279959323279
             1.5   0.719529580246  -0.279960927808
            1.51   0.716730009185  -0.279944037351
            1.52   0.713930698874  -0.279908904844
            1.53   0.711131830466  -0.279855783025
            1.54   0.708333582594  -0.279784924359
            1.55   0.705536131363  -0.279696580954
            1.56   0.702739650362  -0.279591004487
            1.57   0.699944310664  -0.279468446133
            1.58   0.697150280834  -0.279329156488
            1.59   0.694357726932  -0.279173385501
             1.6   0.691566812525  -0.279001382406
            1.61   0.688777698689  -0.278813395657
            1.62   0.685990544021  -0.278609672861
            1.63   0.683205504645  -0.278390460716
            1.64   0.680422734224  -0.278156004953
            1.65   0.677642383967  -0.277906550276
