0		         2.000000         0.000000        20.000000 0
        0.001000         1.999980        -0.020000        19.999800        -0.000010
        0.002000         1.999940        -0.040000        19.999600        -0.000020
        0.003000         1.999880        -0.059999        19.999400        -0.000030
        0.004000         1.999800        -0.079998        19.999200        -0.000040
        0.005000         1.999700        -0.099996        19.999000        -0.000050
        0.006000         1.999580        -0.119993        19.998800        -0.000060
        0.007000         1.999440        -0.139989        19.998601        -0.000070
        0.008000         1.999280        -0.159983        19.998401        -0.000080
        0.009000         1.999100        -0.179976        19.998201        -0.000090
        0.010000         1.998900        -0.199967        19.998001        -0.000100
        0.011000         1.998680        -0.219956        19.997802        -0.000110
        0.012000         1.998440        -0.239943        19.997602        -0.000120
        0.013000         1.998180        -0.259927        19.997403        -0.000130
        0.014000         1.997900        -0.279909        19.997204        -0.000140
        0.015000         1.997600        -0.299888        19.997005        -0.000150
        0.016000         1.997281        -0.319864        19.996806        -0.000160
        0.017000         1.996941        -0.339837        19.996607        -0.000170
        0.018000         1.996581        -0.359806        19.996408        -0.000180
        0.019000         1.996201        -0.379772        19.996209        -0.000190
        0.020000         1.995801        -0.399734        19.996011        -0.000199
        0.021000         1.995382        -0.419692        19.995813        -0.000209
        0.022000         1.994942        -0.439646        19.995615        -0.000219
        0.023000         1.994483        -0.459595        19.995417        -0.000229
        0.024000         1.994003        -0.479540        19.995219        -0.000239
        0.025000         1.993504        -0.499480        19.995021        -0.000249
        0.026000         1.992984        -0.519415        19.994824        -0.000259
        0.027000         1.992445        -0.539345        19.994627        -0.000269
        0.028000         1.991885        -0.559269        19.994430        -0.000279
        0.029000         1.991306        -0.579188        19.994233        -0.000288
        0.030000         1.990707        -0.599101        19.994037        -0.000298
        0.031000         1.990088        -0.619008        19.993841        -0.000308
        0.032000         1.989449        -0.638909        19.993645        -0.000318
        0.033000         1.988790        -0.658804        19.993449        -0.000328
        0.034000         1.988112        -0.678692        19.993253        -0.000337
        0.035000         1.987413        -0.698573        19.993058        -0.000347
        0.036000         1.986695        -0.718447        19.992863        -0.000357
        0.037000         1.985956        -0.738314        19.992669        -0.000367
        0.038000         1.985198        -0.758174        19.992474        -0.000376
        0.039000         1.984420        -0.778025        19.992280        -0.000386
        0.040000         1.983622        -0.797870        19.992087        -0.000396
        0.041000         1.982805        -0.817706        19.991893        -0.000405
        0.042000         1.981967        -0.837534        19.991700        -0.000415
        0.043000         1.981110        -0.857354        19.991507        -0.000425
        0.044000         1.980233        -0.877165        19.991315        -0.000434
        0.045000         1.979336        -0.896967        19.991123        -0.000444
        0.046000         1.978419        -0.916760        19.990931        -0.000453
        0.047000         1.977482        -0.936545        19.990740        -0.000463
        0.048000         1.976526        -0.956319        19.990549        -0.000473
        0.049000         1.975550        -0.976085        19.990358        -0.000482
        0.050000         1.974554        -0.995840        19.990168        -0.000492
        0.051000         1.973539        -1.015586        19.989979        -0.000501
        0.052000         1.972503        -1.035321        19.989789        -0.000511
        0.053000         1.971448        -1.055046        19.989600        -0.000520
        0.054000         1.970373        -1.074761        19.989412        -0.000529
        0.055000         1.969279        -1.094464        19.989223        -0.000539
        0.056000         1.968165        -1.114157        19.989036        -0.000548
        0.057000         1.967031        -1.133839        19.988849        -0.000558
        0.058000         1.965877        -1.153509        19.988662        -0.000567
        0.059000         1.964704        -1.173168        19.988475        -0.000576
        0.060000         1.963511        -1.192815        19.988289        -0.000586
        0.061000         1.962299        -1.212450        19.988104        -0.000595
        0.062000         1.961067        -1.232073        19.987919        -0.000604
        0.063000         1.959815        -1.251684        19.987735        -0.000613
        0.064000         1.958544        -1.271282        19.987551        -0.000622
        0.065000         1.957253        -1.290867        19.987367        -0.000632
        0.066000         1.955943        -1.310440        19.987184        -0.000641
        0.067000         1.954613        -1.329999        19.987002        -0.000650
        0.068000         1.953263        -1.349545        19.986820        -0.000659
        0.069000         1.951894        -1.369078        19.986639        -0.000668
        0.070000         1.950505        -1.388597        19.986458        -0.000677
        0.071000         1.949097        -1.408102        19.986277        -0.000686
        0.072000         1.947670        -1.427593        19.986098        -0.000695
        0.073000         1.946223        -1.447070        19.985918        -0.000704
        0.074000         1.944756        -1.466532        19.985740        -0.000713
        0.075000         1.943270        -1.485979        19.985562        -0.000722
        0.076000         1.941765        -1.505412        19.985384        -0.000731
        0.077000         1.940240        -1.524830        19.985207        -0.000740
        0.078000         1.938696        -1.544232        19.985031        -0.000748
        0.079000         1.937132        -1.563619        19.984855        -0.000757
        0.080000         1.935549        -1.582990        19.984680        -0.000766
        0.081000         1.933947        -1.602346        19.984506        -0.000775
        0.082000         1.932325        -1.621685        19.984332        -0.000783
        0.083000         1.930684        -1.641009        19.984159        -0.000792
        0.084000         1.929024        -1.660316        19.983986        -0.000801
        0.085000         1.927344        -1.679606        19.983814        -0.000809
        0.086000         1.925645        -1.698879        19.983643        -0.000818
        0.087000         1.923927        -1.718136        19.983472        -0.000826
        0.088000         1.922190        -1.737375        19.983302        -0.000835
        0.089000         1.920433        -1.756597        19.983133        -0.000843
        0.090000         1.918657        -1.775801        19.982964        -0.000852
        0.091000         1.916862        -1.794988        19.982796        -0.000860
        0.092000         1.915048        -1.814156        19.982629        -0.000869
        0.093000         1.913215        -1.833307        19.982462        -0.000877
        0.094000         1.911362        -1.852439        19.982297        -0.000885
        0.095000         1.909491        -1.871553        19.982131        -0.000893
        0.096000         1.907600        -1.890648        19.981967        -0.000902
        0.097000         1.905690        -1.909724        19.981803        -0.000910
        0.098000         1.903762        -1.928780        19.981640        -0.000918
        0.099000         1.901814        -1.947818        19.981478        -0.000926
        0.100000         1.899847        -1.966836        19.981317        -0.000934
        0.101000         1.897861        -1.985835        19.981156        -0.000942
        0.102000         1.895856        -2.004813        19.980996        -0.000950
        0.103000         1.893833        -2.023772        19.980837        -0.000958
        0.104000         1.891790        -2.042710        19.980678        -0.000966
        0.105000         1.889728        -2.061628        19.980520        -0.000974
        0.106000         1.887648        -2.080525        19.980364        -0.000982
        0.107000         1.885548        -2.099402        19.980207        -0.000990
        0.108000         1.883430        -2.118257        19.980052        -0.000997
        0.109000         1.881293        -2.137092        19.979898        -0.001005
        0.110000         1.879137        -2.155905        19.979744        -0.001013
        0.111000         1.876962        -2.174696        19.979591        -0.001020
        0.112000         1.874769        -2.193466        19.979439        -0.001028
        0.113000         1.872557        -2.212213        19.979288        -0.001036
        0.114000         1.870326        -2.230939        19.979137        -0.001043
        0.115000         1.868076        -2.249642        19.978987        -0.001051
        0.116000         1.865808        -2.268323        19.978839        -0.001058
        0.117000         1.863521        -2.286981        19.978691        -0.001065
        0.118000         1.861215        -2.305616        19.978544        -0.001073
        0.119000         1.858891        -2.324228        19.978398        -0.001080
        0.120000         1.856548        -2.342817        19.978252        -0.001087
        0.121000         1.854187        -2.361383        19.978108        -0.001095
        0.122000         1.851807        -2.379925        19.977964        -0.001102
        0.123000         1.849408        -2.398443        19.977822        -0.001109
        0.124000         1.846992        -2.416937        19.977680        -0.001116
        0.125000         1.844556        -2.435407        19.977539        -0.001123
        0.126000         1.842102        -2.453852        19.977399        -0.001130
        0.127000         1.839630        -2.472273        19.977260        -0.001137
        0.128000         1.837139        -2.490669        19.977121        -0.001144
        0.129000         1.834630        -2.509041        19.976984        -0.001151
        0.130000         1.832103        -2.527387        19.976848        -0.001158
        0.131000         1.829557        -2.545708        19.976712        -0.001164
        0.132000         1.826993        -2.564004        19.976578        -0.001171
        0.133000         1.824411        -2.582274        19.976444        -0.001178
        0.134000         1.821810        -2.600518        19.976312        -0.001184
        0.135000         1.819192        -2.618736        19.976180        -0.001191
        0.136000         1.816555        -2.636928        19.976049        -0.001198
        0.137000         1.813900        -2.655093        19.975920        -0.001204
        0.138000         1.811226        -2.673232        19.975791        -0.001210
        0.139000         1.808535        -2.691345        19.975663        -0.001217
        0.140000         1.805826        -2.709430        19.975536        -0.001223
        0.141000         1.803098        -2.727488        19.975410        -0.001229
        0.142000         1.800353        -2.745519        19.975285        -0.001236
        0.143000         1.797589        -2.763523        19.975162        -0.001242
        0.144000         1.794808        -2.781499        19.975039        -0.001248
        0.145000         1.792008        -2.799447        19.974917        -0.001254
        0.146000         1.789191        -2.817367        19.974796        -0.001260
        0.147000         1.786356        -2.835259        19.974676        -0.001266
        0.148000         1.783502        -2.853122        19.974557        -0.001272
        0.149000         1.780631        -2.870957        19.974439        -0.001278
        0.150000         1.777743        -2.888764        19.974323        -0.001284
        0.151000         1.774836        -2.906541        19.974207        -0.001290
        0.152000         1.771912        -2.924289        19.974092        -0.001295
        0.153000         1.768970        -2.942008        19.973978        -0.001301
