0		         0.500000         0.000000         1.178098 0
        0.001000         0.499998        -0.004794         1.178098         0.000000
        0.002000         0.499990        -0.009588         1.178099         0.000001
        0.003000         0.499978        -0.014383         1.178102         0.000003
        0.004000         0.499962        -0.019177         1.178105         0.000006
        0.005000         0.499940        -0.023970         1.178108         0.000009
        0.006000         0.499914        -0.028764         1.178113         0.000013
        0.007000         0.499883        -0.033557         1.178119         0.000018
        0.008000         0.499847        -0.038350         1.178125         0.000023
        0.009000         0.499806        -0.043143         1.178133         0.000030
        0.010000         0.499760        -0.047936         1.178141         0.000037
        0.011000         0.499710        -0.052727         1.178150         0.000044
        0.012000         0.499655        -0.057519         1.178160         0.000053
        0.013000         0.499595        -0.062310         1.178171         0.000062
        0.014000         0.499530        -0.067100         1.178182         0.000072
        0.015000         0.499461        -0.071890         1.178195         0.000083
        0.016000         0.499386        -0.076679         1.178208         0.000094
        0.017000         0.499307        -0.081468         1.178223         0.000106
        0.018000         0.499224        -0.086256         1.178238         0.000119
        0.019000         0.499135        -0.091043         1.178254         0.000132
        0.020000         0.499041        -0.095829         1.178270         0.000147
        0.021000         0.498943        -0.100614         1.178288         0.000162
        0.022000         0.498840        -0.105399         1.178307         0.000177
        0.023000         0.498732        -0.110182         1.178326         0.000194
        0.024000         0.498620        -0.114965         1.178346         0.000211
        0.025000         0.498502        -0.119747         1.178368         0.000229
        0.026000         0.498380        -0.124527         1.178390         0.000248
        0.027000         0.498253        -0.129307         1.178412         0.000267
        0.028000         0.498122        -0.134085         1.178436         0.000287
        0.029000         0.497985        -0.138862         1.178461         0.000308
        0.030000         0.497844        -0.143638         1.178486         0.000330
        0.031000         0.497698        -0.148413         1.178512         0.000352
        0.032000         0.497547        -0.153186         1.178539         0.000375
        0.033000         0.497392        -0.157958         1.178567         0.000399
        0.034000         0.497231        -0.162729         1.178596         0.000423
        0.035000         0.497066        -0.167498         1.178626         0.000448
        0.036000         0.496896        -0.172266         1.178656         0.000474
        0.037000         0.496722        -0.177032         1.178687         0.000501
        0.038000         0.496542        -0.181797         1.178720         0.000528
        0.039000         0.496358        -0.186560         1.178753         0.000556
        0.040000         0.496169        -0.191321         1.178787         0.000585
        0.041000         0.495975        -0.196081         1.178821         0.000614
        0.042000         0.495777        -0.200839         1.178857         0.000644
        0.043000         0.495574        -0.205595         1.178893         0.000675
        0.044000         0.495366        -0.210350         1.178930         0.000707
        0.045000         0.495153        -0.215102         1.178968         0.000739
        0.046000         0.494936        -0.219853         1.179007         0.000772
        0.047000         0.494713        -0.224602         1.179047         0.000806
        0.048000         0.494486        -0.229349         1.179088         0.000840
        0.049000         0.494255        -0.234093         1.179129         0.000875
        0.050000         0.494018        -0.238836         1.179171         0.000911
        0.051000         0.493777        -0.243577         1.179214         0.000948
        0.052000         0.493531        -0.248315         1.179258         0.000985
        0.053000         0.493280        -0.253052         1.179303         0.001023
        0.054000         0.493025        -0.257786         1.179348         0.001061
        0.055000         0.492765        -0.262517         1.179395         0.001101
        0.056000         0.492500        -0.267247         1.179442         0.001141
        0.057000         0.492230        -0.271974         1.179490         0.001182
        0.058000         0.491956        -0.276699         1.179538         0.001223
        0.059000         0.491677        -0.281421         1.179588         0.001265
        0.060000         0.491393        -0.286141         1.179638         0.001308
        0.061000         0.491105        -0.290858         1.179690         0.001351
        0.062000         0.490811        -0.295573         1.179742         0.001396
        0.063000         0.490513        -0.300285         1.179795         0.001440
        0.064000         0.490211        -0.304994         1.179848         0.001486
        0.065000         0.489903        -0.309701         1.179903         0.001532
        0.066000         0.489591        -0.314405         1.179958         0.001579
        0.067000         0.489275        -0.319106         1.180014         0.001627
        0.068000         0.488953        -0.323805         1.180071         0.001675
        0.069000         0.488627        -0.328500         1.180128         0.001724
        0.070000         0.488296        -0.333193         1.180187         0.001773
        0.071000         0.487961        -0.337883         1.180246         0.001824
        0.072000         0.487620        -0.342570         1.180306         0.001875
        0.073000         0.487275        -0.347253         1.180367         0.001926
        0.074000         0.486926        -0.351934         1.180428         0.001978
        0.075000         0.486572        -0.356611         1.180491         0.002031
        0.076000         0.486213        -0.361286         1.180554         0.002085
        0.077000         0.485849        -0.365957         1.180618         0.002139
        0.078000         0.485481        -0.370625         1.180683         0.002194
        0.079000         0.485108        -0.375290         1.180748         0.002250
        0.080000         0.484730        -0.379951         1.180814         0.002306
        0.081000         0.484348        -0.384609         1.180881         0.002363
        0.082000         0.483961        -0.389264         1.180949         0.002420
        0.083000         0.483569        -0.393915         1.181018         0.002479
        0.084000         0.483173        -0.398562         1.181087         0.002537
        0.085000         0.482772        -0.403207         1.181157         0.002597
        0.086000         0.482367        -0.407847         1.181228         0.002657
        0.087000         0.481957        -0.412484         1.181300         0.002718
        0.088000         0.481542        -0.417117         1.181372         0.002779
        0.089000         0.481122        -0.421747         1.181445         0.002841
        0.090000         0.480698        -0.426373         1.181519         0.002904
        0.091000         0.480270        -0.430995         1.181593         0.002967
        0.092000         0.479836        -0.435613         1.181669         0.003031
        0.093000         0.479398        -0.440228         1.181745         0.003096
        0.094000         0.478956        -0.444838         1.181821         0.003161
        0.095000         0.478509        -0.449445         1.181899         0.003227
        0.096000         0.478057        -0.454047         1.181977         0.003293
        0.097000         0.477601        -0.458646         1.182056         0.003360
        0.098000         0.477140        -0.463240         1.182136         0.003428
        0.099000         0.476674        -0.467831         1.182216         0.003496
        0.100000         0.476204        -0.472417         1.182298         0.003565
        0.101000         0.475729        -0.476999         1.182379         0.003634
        0.102000         0.475250        -0.481576         1.182462         0.003705
        0.103000         0.474766        -0.486150         1.182545         0.003775
        0.104000         0.474278        -0.490719         1.182629         0.003847
        0.105000         0.473785        -0.495284         1.182714         0.003918
        0.106000         0.473287        -0.499844         1.182799         0.003991
        0.107000         0.472785        -0.504400         1.182885         0.004064
        0.108000         0.472278        -0.508951         1.182972         0.004138
        0.109000         0.471767        -0.513498         1.183060         0.004212
        0.110000         0.471251        -0.518041         1.183148         0.004287
        0.111000         0.470731        -0.522578         1.183237         0.004362
        0.112000         0.470206        -0.527111         1.183326         0.004438
        0.113000         0.469677        -0.531640         1.183417         0.004515
        0.114000         0.469143        -0.536163         1.183507         0.004592
        0.115000         0.468604        -0.540682         1.183599         0.004670
        0.116000         0.468061        -0.545196         1.183691         0.004748
        0.117000         0.467514        -0.549705         1.183784         0.004827
        0.118000         0.466962        -0.554210         1.183878         0.004906
        0.119000         0.466406        -0.558709         1.183972         0.004986
        0.120000         0.465845        -0.563203         1.184067         0.005067
        0.121000         0.465279        -0.567692         1.184162         0.005148
        0.122000         0.464709        -0.572176         1.184259         0.005230
        0.123000         0.464135        -0.576656         1.184355         0.005312
        0.124000         0.463556        -0.581129         1.184453         0.005394
        0.125000         0.462973        -0.585598         1.184551         0.005478
        0.126000         0.462385        -0.590062         1.184650         0.005562
        0.127000         0.461792        -0.594520         1.184749         0.005646
        0.128000         0.461196        -0.598973         1.184849         0.005731
        0.129000         0.460595        -0.603420         1.184950         0.005816
        0.130000         0.459989        -0.607862         1.185051         0.005902
        0.131000         0.459379        -0.612299         1.185153         0.005989
        0.132000         0.458764        -0.616730         1.185255         0.006076
        0.133000         0.458145        -0.621156         1.185358         0.006163
        0.134000         0.457522        -0.625576         1.185462         0.006251
        0.135000         0.456894        -0.629990         1.185566         0.006340
        0.136000         0.456262        -0.634399         1.185671         0.006429
        0.137000         0.455625        -0.638802         1.185777         0.006518
        0.138000         0.454984        -0.643199         1.185883         0.006608
        0.139000         0.454339        -0.647591         1.185990         0.006699
        0.140000         0.453689        -0.651977         1.186097         0.006790
        0.141000         0.453035        -0.656357         1.186205         0.006881
        0.142000         0.452376        -0.660731         1.186313         0.006974
        0.143000         0.451714        -0.665099         1.186422         0.007066
        0.144000         0.451046        -0.669461         1.186532         0.007159
        0.145000         0.450375        -0.673817         1.186642         0.007252
        0.146000         0.449699        -0.678167         1.186752         0.007346
        0.147000         0.449018        -0.682511         1.186864         0.007441
        0.148000         0.448334        -0.686849         1.186975         0.007536
        0.149000         0.447645        -0.691180         1.187088         0.007631
        0.150000         0.446951        -0.695505         1.187201         0.007727
        0.151000         0.446254        -0.699824         1.187314         0.007823
        0.152000         0.445552        -0.704137         1.187428         0.007920
        0.153000         0.444845        -0.708443         1.187542         0.008017
        0.154000         0.444135        -0.712743         1.187657         0.008115
        0.155000         0.443420        -0.717037         1.187773         0.008213
        0.156000         0.442701        -0.721324         1.187889         0.008311
        0.157000         0.441977        -0.725605         1.188006         0.008410
        0.158000         0.441249        -0.729879         1.188123         0.008509
        0.159000         0.440517        -0.734146         1.188240         0.008609
        0.160000         0.439781        -0.738407         1.188358         0.008709
        0.161000         0.439041        -0.742661         1.188477         0.008810
        0.162000         0.438296        -0.746908         1.188596         0.008911
        0.163000         0.437547        -0.751149         1.188715         0.009013
        0.164000         0.436794        -0.755382         1.188836         0.009115
        0.165000         0.436036        -0.759609         1.188956         0.009217
        0.166000         0.435274        -0.763829         1.189077         0.009320
        0.167000         0.434508        -0.768043         1.189198         0.009423
        0.168000         0.433738        -0.772249         1.189320         0.009526
        0.169000         0.432964        -0.776448         1.189443         0.009630
        0.170000         0.432185        -0.780640         1.189566         0.009734
        0.171000         0.431403        -0.784825         1.189689         0.009839
        0.172000         0.430616        -0.789003         1.189813         0.009944
        0.173000         0.429825        -0.793174         1.189937         0.010049
        0.174000         0.429029        -0.797337         1.190061         0.010155
        0.175000         0.428230        -0.801493         1.190186         0.010261
