Tempo di volo. Can 1 e 2. CALIBRAZIONE 120 NUOVO
Tempo ( s )	Tempo trascorso ( s )
0.0571	0.00701800
0.1072	0.00701600
0.1573	0.00701700
0.2074	0.00701600
0.2575	0.00701700
0.3076	0.00701600
0.3577	0.00701700
0.4078	0.00701800
0.4579	0.00701600
0.5080	0.00701700
0.5581	0.00701700
0.6082	0.00701600
0.6583	0.00701700
0.7084	0.00701500
0.7585	0.00701600
0.8086	0.00701800
0.8587	0.00701700
0.9088	0.00701800
0.9589	0.00701600
1.0090	0.00701700
1.0591	0.00701800
1.1092	0.00701800
1.1593	0.00701900
1.2094	0.00701700
1.2595	0.00701800
1.3096	0.00701900
1.3597	0.00701800
1.4098	0.00701900
1.4599	0.00701700
1.5100	0.00701900
1.5601	0.00701900
1.6102	0.00701800
1.6603	0.00701900
1.7104	0.00701700
1.7605	0.00701800
1.8106	0.00701900
1.8607	0.00701800
1.9108	0.00701900
1.9609	0.00701700
2.0110	0.00701800
2.0611	0.00701900
2.1112	0.00701800
2.1613	0.00701900
2.2114	0.00701800
2.2615	0.00701800
2.3116	0.00702000
2.3617	0.00701800
2.4118	0.00701800
2.4619	0.00701700
2.5120	0.00701800
2.5621	0.00701900
2.6122	0.00701800
2.6623	0.00701800
2.7124	0.00701700
2.7625	0.00701800
2.8126	0.00701900
2.8627	0.00701800
2.9128	0.00701900
2.9629	0.00701700
3.0130	0.00701900
3.0631	0.00701900
3.1132	0.00701800
3.1633	0.00701900
3.2134	0.00701700
3.2635	0.00701800
3.3136	0.00701700
3.3637	0.00701800
3.4138	0.00701900
3.4639	0.00701700
3.5140	0.00701800
3.5641	0.00701900
3.6142	0.00701800
3.6643	0.00701900
3.7144	0.00701700
3.7645	0.00701800
3.8146	0.00701700
3.8647	0.00701800
3.9148	0.00701900
3.9649	0.00701800
4.0150	0.00701900
4.0651	0.00701900
4.1152	0.00701800
4.1653	0.00701900
4.2154	0.00701800
4.2655	0.00701800
4.3156	0.00701700
4.3657	0.00701800
4.4158	0.00701900
4.4659	0.00701700
4.5160	0.00701800
4.5661	0.00701900
4.6162	0.00701800
4.6663	0.00701900
4.7164	0.00701700
4.7665	0.00701800
4.8166	0.00701700
4.8667	0.00701800
4.9168	0.00701900
4.9669	0.00701700
5.0170	0.00701800
5.0671	0.00701700
5.1172	0.00701800
5.1673	0.00701800
5.2174	0.00701700
5.2675	0.00701800
5.3176	0.00701600
5.3677	0.00701700
5.4178	0.00701800
5.4679	0.00701700
5.5180	0.00701800
5.5681	0.00701600
5.6182	0.00701700
5.6683	0.00701800
5.7184	0.00701600
5.7685	0.00701700
5.8186	0.00701600
5.8687	0.00701700
5.9188	0.00701800
5.9689	0.00701600
6.0190	0.00701700
6.0691	0.00701600
6.1192	0.00701700
6.1693	0.00701800
6.2194	0.00701600
6.2695	0.00701700
6.3196	0.00701600
6.3697	0.00701700
6.4198	0.00701800
6.4699	0.00701600
6.5200	0.00701700
6.5701	0.00701600
6.6202	0.00701700
6.6703	0.00701800
6.7204	0.00701600
6.7705	0.00701700
6.8206	0.00701500
6.8707	0.00701600
6.9208	0.00701800
6.9709	0.00701600
7.0210	0.00701600
7.0711	0.00701500
7.1212	0.00701600
7.1713	0.00701800
7.2214	0.00701600
7.2715	0.00701600
7.3216	0.00701400
7.3717	0.00701500
7.4218	0.00701700
7.4719	0.00701600
7.5220	0.00701700
7.5721	0.00701600
7.6222	0.00701700
7.6723	0.00701800
7.7224	0.00701600
7.7725	0.00701700
7.8226	0.00701600
7.8727	0.00701600
7.9228	0.00701500
7.9729	0.00701600
8.0230	0.00701700
8.0731	0.00701600
8.1232	0.00701700
8.1733	0.00701800
8.2234	0.00701700
8.2735	0.00701800
8.3236	0.00701600
8.3737	0.00701700
8.4238	0.00701600
8.4739	0.00701700
8.5240	0.00701800
8.5741	0.00701600
8.6242	0.00701700
8.6743	0.00701600
8.7244	0.00701700
8.7745	0.00701800
8.8246	0.00701700
8.8747	0.00701800
8.9248	0.00701700
8.9749	0.00701800
9.0250	0.00701900
9.0751	0.00701700
9.1252	0.00701900
9.1753	0.00701700
9.2254	0.00701800
9.2755	0.00701900
9.3256	0.00701800
9.3757	0.00701900
9.4258	0.00701700
9.4759	0.00701800
9.5260	0.00701900
9.5761	0.00701800
9.6262	0.00701900
9.6763	0.00701700
9.7264	0.00701800
9.7765	0.00701900
9.8266	0.00701800
9.8767	0.00701900
9.9268	0.00701800
9.9769	0.00701800
10.0270	0.00702000
10.0771	0.00701800
10.1272	0.00701900
10.1773	0.00701800
10.2274	0.00701900
10.2775	0.00701900
10.3276	0.00701800
10.3777	0.00701900
10.4278	0.00701800
10.4779	0.00701800
