Tempo di volo, Can 1 e 2, calibrazione 50
Tempo ( s )	Tempo trascorso ( s )
0,0530	0,00298200
0,1032	0,00299000
0,1533	0,00299100
0,2034	0,00299200
0,2535	0,00299000
0,3036	0,00299200
0,3537	0,00299000
0,4038	0,00299100
0,4539	0,00298900
0,5040	0,00299100
0,5541	0,00299100
0,6041	0,00297700
0,6543	0,00299100
0,7044	0,00299000
0,7545	0,00299000
0,8046	0,00298900
0,8547	0,00299000
0,9048	0,00299100
0,9549	0,00299000
1,0050	0,00299100
1,0551	0,00299000
1,1052	0,00299100
1,1553	0,00299200
1,2054	0,00299000
1,2555	0,00299100
1,3056	0,00299000
1,3557	0,00299000
1,4058	0,00298900
1,4559	0,00299000
1,5060	0,00299200
1,5561	0,00299000
1,6062	0,00299100
1,6563	0,00299000
1,7064	0,00299100
1,7565	0,00299200
1,8066	0,00299000
1,8567	0,00299100
1,9068	0,00299000
1,9569	0,00299100
2,0070	0,00299000
2,0571	0,00299100
2,1072	0,00299200
2,1573	0,00299000
2,2074	0,00299100
2,2575	0,00298900
2,3076	0,00299000
2,3577	0,00298900
2,4078	0,00298900
2,4579	0,00299000
2,5080	0,00298900
2,5581	0,00299000
2,6082	0,00298800
2,6583	0,00298900
2,7084	0,00298800
2,7585	0,00298900
2,8086	0,00299000
2,8587	0,00298800
2,9088	0,00299000
2,9589	0,00298800
3,0090	0,00298900
3,0591	0,00299000
3,1092	0,00298900
3,1593	0,00299000
3,2094	0,00298900
3,2595	0,00298900
3,3096	0,00298800
3,3597	0,00298900
3,4098	0,00299000
3,4599	0,00298800
3,5100	0,00299000
3,5601	0,00298800
3,6102	0,00298900
3,6603	0,00299000
3,7104	0,00298900
3,7605	0,00299000
3,8106	0,00298800
3,8607	0,00298900
3,9108	0,00298800
3,9609	0,00298900
4,0110	0,00299000
4,0611	0,00298900
4,1112	0,00299000
4,1613	0,00298800
4,2114	0,00299000
4,2615	0,00298800
4,3116	0,00298900
4,3617	0,00299000
4,4118	0,00298900
4,4619	0,00299000
4,5120	0,00298800
4,5621	0,00298900
4,6122	0,00298800
4,6623	0,00298900
4,7124	0,00299000
4,7625	0,00298800
4,8126	0,00298900
4,8627	0,00298800
4,9128	0,00298900
4,9629	0,00299000
5,0130	0,00298800
5,0631	0,00298900
5,1132	0,00298800
5,1633	0,00298900
5,2134	0,00298800
5,2635	0,00298800
5,3136	0,00299000
5,3637	0,00298800
5,4138	0,00298900
5,4639	0,00298800
5,5140	0,00298900
5,5641	0,00298700
5,6142	0,00298900
5,6643	0,00299000
5,7144	0,00298800
5,7645	0,00298900
5,8146	0,00298800
5,8647	0,00298900
5,9148	0,00298800
5,9649	0,00298900
6,0150	0,00299000
6,0651	0,00298900
6,1152	0,00299000
6,1653	0,00298800
6,2154	0,00299000
6,2655	0,00299100
6,3156	0,00298900
6,3657	0,00299000
6,4158	0,00298900
6,4659	0,00299000
6,5160	0,00298800
6,5661	0,00298900
6,6162	0,00299000
6,6663	0,00298900
6,7164	0,00299000
6,7665	0,00298800
6,8166	0,00298900
6,8667	0,00298800
6,9168	0,00298900
6,9669	0,00299000
7,0170	0,00298800
7,0671	0,00298900
7,1172	0,00298800
7,1673	0,00298900
7,2174	0,00298800
7,2675	0,00298900
7,3176	0,00299000
7,3677	0,00298900
7,4178	0,00299000
7,4679	0,00298900
7,5180	0,00299000
7,5681	0,00299100
7,6182	0,00299000
7,6683	0,00299100
7,7184	0,00299000
7,7685	0,00299100
7,8186	0,00298900
7,8687	0,00299000
7,9188	0,00299200
7,9689	0,00299000
8,0190	0,00299100
8,0691	0,00299000
8,1192	0,00299100
8,1693	0,00298900
8,2194	0,00299000
8,2695	0,00299100
8,3196	0,00298900
8,3697	0,00299000
8,4198	0,00298900
8,4699	0,00299000
8,5200	0,00298800
8,5701	0,00298900
8,6202	0,00299000
8,6703	0,00298900
8,7204	0,00299000
8,7705	0,00298800
8,8206	0,00298900
8,8707	0,00299000
8,9208	0,00298900
8,9709	0,00299000
9,0210	0,00298900
9,0711	0,00299000
9,1212	0,00298900
9,1713	0,00299000
9,2214	0,00299100
9,2715	0,00298900
9,3216	0,00299100
9,3717	0,00298900
9,4218	0,00299000
9,4719	0,00298900
9,5220	0,00299000
9,5721	0,00299100
9,6222	0,00299000
9,6723	0,00299100
9,7224	0,00298900
9,7725	0,00299000
9,8226	0,00298900
9,8727	0,00299000
9,9228	0,00299100
9,9729	0,00298900
10,0230	0,00299100
10,0731	0,00298900
10,1232	0,00299000
10,1733	0,00298800
10,2234	0,00299000
10,2735	0,00299100
10,3236	0,00298900
10,3737	0,00299000
