Tempo di volo, Can 1 e 2, Raccolta #38
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,16000E-4
0,1010	8,66000E-4
0,1512	8,83000E-4
0,2013	9,10000E-4
0,2513	8,61000E-4
0,3014	8,66000E-4
0,3515	8,60000E-4
0,4017	8,91000E-4
0,4517	8,70000E-4
0,5018	8,59000E-4
0,5519	8,74000E-4
0,6020	8,76000E-4
0,6521	8,61000E-4
0,7022	8,74000E-4
0,7523	8,75000E-4
0,8024	8,75000E-4
0,8526	8,82000E-4
0,9026	8,69000E-4
0,9527	8,78000E-4
1,0028	8,73000E-4
1,0530	8,88000E-4
1,1031	8,83000E-4
1,1532	9,07000E-4
1,2033	8,98000E-4
1,2534	9,10000E-4
1,3035	9,19000E-4
1,3536	9,34000E-4
1,4037	9,27000E-4
1,4538	9,18000E-4
1,5039	9,10000E-4
1,5540	8,89000E-4
1,6041	9,00000E-4
1,6542	9,25000E-4
1,7043	9,80000E-4
1,7545	0,00100600
1,8046	0,00104900
1,8548	0,00109400
1,9049	0,00113700
1,9551	0,00118300
2,0052	0,00123200
2,0553	0,00127800
2,1055	0,00132900
2,1556	0,00137800
2,2058	0,00143000
2,2559	0,00148000
2,3061	0,00153300
2,3563	0,00158800
2,4064	0,00164100
2,4566	0,00169700
2,5067	0,00175400
2,5569	0,00181000
2,6070	0,00186900
2,6572	0,00192800
2,7074	0,00199000
2,7575	0,00205300
2,8077	0,00211600
2,8579	0,00218200
2,9080	0,00224700
2,9582	0,00231200
3,0083	0,00238000
3,0585	0,00244600
3,1087	0,00252800
3,1589	0,00259800
3,2090	0,00266900
3,2592	0,00274100
3,3094	0,00281100
3,3596	0,00288500
3,4097	0,00295700
3,4599	0,00302200
3,5101	0,00309800
3,5602	0,00317300
3,6104	0,00325100
3,6606	0,00332700
3,7108	0,00340700
3,7610	0,00348900
3,8111	0,00356800
3,8613	0,00365100
3,9115	0,00373100
3,9617	0,00381600
4,0119	0,00390100
4,0621	0,00398500
4,1122	0,00407100
4,1624	0,00415600
4,2126	0,00424400
4,2628	0,00433300
4,3130	0,00442100
4,3632	0,00451100
4,4134	0,00460000
4,4636	0,00469200
4,5138	0,00478500
4,5639	0,00487600
4,6141	0,00497000
4,6643	0,00506200
4,7145	0,00515800
4,7647	0,00525400
4,8149	0,00534800
4,8651	0,00544600
4,9153	0,00554200
4,9655	0,00564100
5,0157	0,00574200
5,0659	0,00584000
5,1161	0,00594100
5,1663	0,00604100
5,2165	0,00614400
5,2667	0,00624800
5,3169	0,00634900
5,3671	0,00645500
5,4173	0,00655800
5,4675	0,00666500
5,5177	0,00677200
5,5679	0,00687800
5,6182	0,00698600
5,6684	0,00709300
5,7186	0,00720400
5,7688	0,00731600
5,8190	0,00742500
5,8692	0,00753900
5,9194	0,00765000
5,9696	0,00776500
6,0198	0,00788100
6,0701	0,00799500
6,1203	0,00811200
6,1705	0,00822900
6,2207	0,00834800
6,2709	0,00846900
6,3212	0,00858800
6,3714	0,00871100
6,4216	0,00883300
6,4718	0,00896900
6,5221	0,00909400
6,5723	0,00921900
6,6225	0,00934700
6,6727	0,00947500
6,7230	0,00960500
6,7732	0,00973700
6,8234	0,00986700
6,8737	0,0100020
6,9239	0,0101350
6,9741	0,0102710
7,0244	0,0104100
7,0746	0,0105470
7,1249	0,0106870
7,1751	0,0108270
7,2253	0,0109700
7,2756	0,0111150
7,3258	0,0112590
7,3761	0,0114070
7,4263	0,0115530
7,4766	0,0117040
7,5268	0,0118560
7,5771	0,0120080
7,6273	0,0121070
7,6774	0,0121410
7,7275	0,0121360
7,7776	0,0121430
7,8277	0,0121330
7,8778	0,0121190
