Tempo di volo. Can 1 e 2. discesa 1 (1.219 gradi - 0.0212 rad) 2 pesi
Tempo ( s )	Tempo trascorso ( s )
0.0510	9.78000E-4
0.1010	8.72000E-4
0.1511	8.68000E-4
0.2012	8.63000E-4
0.2513	8.62000E-4
0.3014	8.56000E-4
0.3515	8.65000E-4
0.4016	8.63000E-4
0.4517	8.67000E-4
0.5018	8.74000E-4
0.5519	8.68000E-4
0.6020	8.73000E-4
0.6521	8.73000E-4
0.7023	8.88000E-4
0.7524	8.90000E-4
0.8025	8.83000E-4
0.8525	8.79000E-4
0.9026	8.74000E-4
0.9527	8.75000E-4
1.0029	9.43000E-4
1.0531	0.00101400
1.1033	0.00108800
1.1534	0.00116600
1.2036	0.00124300
1.2538	0.00132800
1.3040	0.00141300
1.3542	0.00150200
1.4044	0.00159300
1.4546	0.00168500
1.5048	0.00178200
1.5549	0.00188100
1.6052	0.00198700
1.6554	0.00209600
1.7056	0.00221800
1.7558	0.00233000
1.8060	0.00243100
1.8562	0.00256300
1.9065	0.00268600
1.9567	0.00280800
2.0069	0.00292400
2.0571	0.00305100
2.1074	0.00318500
2.1576	0.00331900
2.2078	0.00345800
2.2581	0.00360000
2.3083	0.00374200
2.3586	0.00388900
2.4088	0.00403800
2.4591	0.00419100
2.5093	0.00434700
2.5596	0.00450300
2.6098	0.00466500
2.6601	0.00482600
2.7104	0.00499400
2.7606	0.00516300
2.8109	0.00533200
2.8612	0.00550700
2.9115	0.00568200
2.9617	0.00586300
3.0120	0.00604300
3.0623	0.00622900
3.1126	0.00641700
3.1629	0.00660600
3.2132	0.00680000
3.2635	0.00699400
3.3138	0.00719200
3.3641	0.00739400
3.4144	0.00759700
3.4647	0.00780400
3.5150	0.00801100
3.5653	0.00822300
3.6156	0.00843700
3.6659	0.00865500
3.7162	0.00887600
3.7666	0.00909800
3.8169	0.00933600
3.8672	0.00956400
3.9176	0.00979700
3.9679	0.0100330
4.0182	0.0102690
4.0686	0.0105110
4.1189	0.0107540
4.1693	0.0109970
4.2196	0.0112070
