Tempo di volo, Can 1 e 2, discesa 1 (1.219 gradi - 0.0212 rad) no pesi
Tempo ( s )	Tempo trascorso ( s )
0,0509	8,63000E-4
0,1011	8,87000E-4
0,1511	8,72000E-4
0,2013	8,88000E-4
0,2514	8,93000E-4
0,3015	9,05000E-4
0,3515	8,68000E-4
0,4016	8,59000E-4
0,4517	8,56000E-4
0,5019	8,94000E-4
0,5520	9,13000E-4
0,6021	9,17000E-4
0,6522	9,28000E-4
0,7023	9,36000E-4
0,7524	9,12000E-4
0,8025	8,91000E-4
0,8526	9,56000E-4
0,9028	0,00100700
0,9529	0,00108000
1,0031	0,00115500
1,0533	0,00123200
1,1035	0,00131300
1,1537	0,00139400
1,2038	0,00148000
1,2540	0,00157000
1,3042	0,00165800
1,3544	0,00175200
1,4046	0,00184700
1,4548	0,00194600
1,5050	0,00204900
1,5552	0,00215400
1,6054	0,00226400
1,6556	0,00237200
1,7059	0,00248800
1,7561	0,00261700
1,8063	0,00273600
1,8565	0,00285800
1,9067	0,00298000
1,9570	0,00310800
2,0072	0,00322500
2,0574	0,00335700
2,1077	0,00349300
2,1579	0,00362800
2,2081	0,00376900
2,2584	0,00391100
2,3086	0,00405700
2,3589	0,00420400
2,4091	0,00435500
2,4594	0,00450900
2,5096	0,00466400
2,5599	0,00482300
2,6102	0,00498200
2,6604	0,00514600
2,7107	0,00531200
2,7609	0,00547900
2,8112	0,00565100
2,8615	0,00582300
2,9118	0,00600000
2,9620	0,00617900
3,0123	0,00635800
3,0626	0,00654300
3,1129	0,00672700
3,1632	0,00691600
3,2135	0,00710800
3,2638	0,00730000
3,3141	0,00749700
3,3644	0,00769400
3,4147	0,00789600
3,4650	0,00809700
3,5153	0,00830400
3,5656	0,00851400
3,6159	0,00872400
3,6662	0,00893900
3,7165	0,00916500
3,7669	0,00938500
3,8172	0,00960700
3,8675	0,00983000
3,9178	0,0100570
3,9682	0,0102850
4,0185	0,0105180
4,0688	0,0107510
4,1192	0,0109880
4,1694	0,0111650
