Tempo di volo, Can 1 e 2, discesa 3 (2.43 gradi - 0.0426 rad) velocità iniziale
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,32000E-4
0,1011	9,11000E-4
0,1512	8,88000E-4
0,2012	8,69000E-4
0,2513	8,63000E-4
0,3014	8,79000E-4
0,3516	9,29000E-4
0,4017	9,52000E-4
0,4518	9,35000E-4
0,5020	0,00107500
0,5523	0,00124700
0,6026	0,00142500
0,6529	0,00161300
0,7032	0,00180600
0,7535	0,00201100
0,8038	0,00222800
0,8541	0,00245000
0,9045	0,00269800
0,9548	0,00293500
1,0051	0,00317200
1,0555	0,00342800
1,1059	0,00369500
1,1562	0,00397100
1,2066	0,00425300
1,2570	0,00454600
1,3074	0,00484500
1,3578	0,00515500
1,4082	0,00547300
1,4587	0,00579800
1,5091	0,00613400
1,5595	0,00647600
1,6100	0,00682400
1,6605	0,00719000
1,7109	0,00755900
1,7614	0,00793700
1,8119	0,00832200
1,8624	0,00871900
1,9129	0,00912400
1,9634	0,00954700
2,0139	0,00997000
2,0645	0,0104000
2,1150	0,0108400
2,1656	0,0112870
2,2161	0,0117230
2,2665	0,0120570
2,3166	0,0120550
2,3667	0,0120580
