Temperatura, Can B, 24V
Tempo ( s )	Temperatura ( °C )
0,0000	24,47803195
0,1000	24,47803195
0,2000	24,47803195
0,3000	24,47803195
0,4000	24,47803195
0,5000	24,47803195
0,6000	24,47803195
0,7000	24,47803195
0,8000	24,47803195
0,9000	24,47803195
1,0000	24,47803195
1,1000	24,47803195
1,2000	24,52306280
1,3000	24,47803195
1,4000	24,47803195
1,5000	24,47803195
1,6000	24,47803195
1,7000	24,47803195
1,8000	24,47803195
1,9000	24,43302367
2,0000	24,52306280
2,1000	24,47803195
2,2000	24,52306280
2,3000	24,47803195
2,4000	24,47803195
2,5000	24,47803195
2,6000	24,47803195
2,7000	24,47803195
2,8000	24,47803195
2,9000	24,47803195
3,0000	24,47803195
3,1000	24,47803195
3,2000	24,52306280
3,3000	24,47803195
3,4000	24,47803195
3,5000	24,47803195
3,6000	24,47803195
3,7000	24,43302367
3,8000	24,47803195
3,9000	24,43302367
4,0000	24,47803195
4,1000	24,47803195
4,2000	24,47803195
4,3000	24,47803195
4,4000	24,52306280
4,5000	24,47803195
4,6000	24,47803195
4,7000	24,52306280
4,8000	24,47803195
4,9000	24,47803195
5,0000	24,47803195
5,1000	24,47803195
5,2000	24,47803195
5,3000	24,47803195
5,4000	24,47803195
5,5000	24,47803195
5,6000	24,47803195
5,7000	24,47803195
5,8000	24,47803195
5,9000	24,47803195
6,0000	24,47803195
6,1000	24,47803195
6,2000	24,47803195
6,3000	24,47803195
6,4000	24,47803195
6,5000	24,47803195
6,6000	24,47803195
6,7000	24,47803195
6,8000	24,47803195
6,9000	24,43302367
7,0000	24,52306280
7,1000	24,47803195
7,2000	24,47803195
7,3000	24,47803195
7,4000	24,47803195
7,5000	24,47803195
7,6000	24,47803195
7,7000	24,43302367
7,8000	24,47803195
7,9000	24,47803195
8,0000	24,47803195
8,1000	24,47803195
8,2000	24,47803195
8,3000	24,47803195
8,4000	24,47803195
8,5000	24,47803195
8,6000	24,47803195
8,7000	24,43302367
8,8000	24,47803195
8,9000	24,47803195
9,0000	24,52306280
9,1000	24,47803195
9,2000	24,47803195
9,3000	24,43302367
9,4000	24,47803195
9,5000	24,47803195
9,6000	24,47803195
9,7000	24,47803195
9,8000	24,47803195
9,9000	24,43302367
10,0000	24,47803195
10,1000	24,47803195
10,2000	24,47803195
10,3000	24,47803195
10,4000	24,52306280
10,5000	24,47803195
10,6000	24,47803195
10,7000	24,43302367
10,8000	24,47803195
10,9000	24,47803195
11,0000	24,47803195
11,1000	24,47803195
11,2000	24,47803195
11,3000	24,47803195
11,4000	24,47803195
11,5000	24,47803195
11,6000	24,47803195
11,7000	24,47803195
11,8000	24,47803195
11,9000	24,47803195
12,0000	24,47803195
12,1000	24,47803195
12,2000	24,47803195
12,3000	24,47803195
12,4000	24,47803195
12,5000	24,47803195
12,6000	24,47803195
12,7000	24,47803195
12,8000	24,47803195
12,9000	24,47803195
13,0000	24,52306280
13,1000	24,47803195
13,2000	24,47803195
13,3000	24,43302367
13,4000	24,47803195
13,5000	24,47803195
13,6000	24,47803195
13,7000	24,47803195
13,8000	24,47803195
13,9000	24,47803195
14,0000	24,47803195
14,1000	24,47803195
14,2000	24,47803195
14,3000	24,47803195
14,4000	24,47803195
14,5000	24,47803195
14,6000	24,47803195
14,7000	24,43302367
14,8000	24,47803195
14,9000	24,47803195
15,0000	24,47803195
15,1000	24,47803195
15,2000	24,47803195
15,3000	24,47803195
15,4000	24,47803195
15,5000	24,43302367
15,6000	24,47803195
15,7000	24,52306280
15,8000	24,47803195
15,9000	24,47803195
16,0000	24,47803195
16,1000	24,47803195
16,2000	24,47803195
16,3000	24,47803195
16,4000	24,47803195
16,5000	24,47803195
16,6000	24,47803195
